execution_rep.csv
Order ID, Client Order, Instrument, Side, Exec Status, Quantity, Price, Reason, Transaction time
ord102,aa114,Rose,2,Fill,50,83,,20230901-032014.085,
ord100,aa112,Rose,1,Fill,50,83,,20230901-032014.085,
ord103,aa115,Rose,2,Fill,40,50,,20230901-032014.086,
ord76,aa88,Rose,1,Pfill,40,50,,20230901-032014.086,
ord104,aa116,Lotus,3,Rejected,45,1,Invalid order type,20230901-032014.086,
ord105,aa117,Rose,1,New,300,80,,20230901-032014.086,
ord106,aa118,Rose,2,Fill,100,80,,20230901-032014.087,
ord105,aa117,Rose,1,Pfill,100,80,,20230901-032014.087,
ord107,aa119,Rose,2,New,100,90,,20230901-032014.087,
ord108,aa120,Rose,2,Fill,100,80,,20230901-032014.087,
ord105,aa117,Rose,1,Pfill,100,80,,20230901-032014.087,
ord109,aa121,Rose,2,Fill,100,80,,20230901-032014.088,
ord105,aa117,Rose,1,Fill,100,80,,20230901-032014.088,
ord110,aa122,Rose,2,New,100,90,,20230901-032014.088,
ord111,aa123,Rose,2,New,100,70,,20230901-032014.088,
ord112,aa124,Rose,2,Fill,100,50,,20230901-032014.088,
ord76,aa88,Rose,1,Pfill,100,50,,20230901-032014.088,
ord113,aa125,Rose,2,Pfill,10,50,,20230901-032014.089,
ord76,aa88,Rose,1,Fill,10,50,,20230901-032014.089,
ord113,aa125,Rose,2,Fill,90,50,,20230901-032014.089,
ord96,aa108,Rose,1,Pfill,90,50,,20230901-032014.089,
ord114,aa126,Rose,2,New,100,60,,20230901-032014.089,
ord115,aa127,Rose,1,New,300,45,,20230901-032014.090,
ord116,aa128,Rose,2,New,50,80,,20230901-032014.090,
ord117,aa129,Rose,1,New,100,55,,20230901-032014.090,
ord118,aa130,Rose,1,New,300,45,,20230901-032014.090,
ord119,aa131,Rose,1,Pfill,100,90,,20230901-032014.090,
ord114,aa126,Rose,2,Fill,100,90,,20230901-032014.090,
ord119,aa131,Rose,1,Pfill,100,90,,20230901-032014.091,
ord111,aa123,Rose,2,Fill,100,90,,20230901-032014.091,
ord119,aa131,Rose,1,Pfill,50,90,,20230901-032014.092,
ord116,aa128,Rose,2,Fill,50,90,,20230901-032014.092,
ord119,aa131,Rose,1,Fill,50,90,,20230901-032014.092,
ord107,aa119,Rose,2,Pfill,50,90,,20230901-032014.092,
ord120,aa132,Rose,2,Fill,50,55,,20230901-032014.092,
ord117,aa129,Rose,1,Pfill,50,55,,20230901-032014.092,
ord121,aa133,Rose,1,New,100,85,,20230901-032014.093,
ord122,aa134,Rose,1,Pfill,50,95,,20230901-032014.093,
ord107,aa119,Rose,2,Fill,50,95,,20230901-032014.093,
ord122,aa134,Rose,1,Pfill,100,95,,20230901-032014.093,
ord110,aa122,Rose,2,Fill,100,95,,20230901-032014.093,
ord123,aa135,Rose,2,New,50,105,,20230901-032014.094,
ord124,aa136,Rose,2,Fill,40,95,,20230901-032014.094,
ord122,aa134,Rose,1,Pfill,40,95,,20230901-032014.094,
ord125,aa137,Lotus,3,Rejected,45,80,Invalid order type,20230901-032014.094,
ord126,aa138,Rose,1,New,300,55,,20230901-032014.094,

Transaction Time to the fully execution of the file: 32709 microseconds.
